speaker,total_count,s1_count,s2_count,s3_count,s4_count,s5_count,s6_count,s7_count,s8_count,s9_count
Michael,12137,642.0,2324.0,1989.0,1633.0,2163.0,1983.0,1401.0,0.0,2.0
Dwight,7529,326.0,1114.0,939.0,547.0,1074.0,811.0,703.0,946.0,1069.0
Jim,6814,285.0,905.0,783.0,684.0,875.0,928.0,687.0,869.0,798.0
Pam,5375,219.0,729.0,665.0,528.0,706.0,706.0,612.0,475.0,735.0
Andy,3968,0.0,0.0,391.0,223.0,497.0,538.0,557.0,1125.0,637.0
Kevin,1708,30.0,157.0,212.0,141.0,187.0,228.0,240.0,247.0,266.0
Angela,1695,32.0,162.0,243.0,193.0,221.0,136.0,161.0,166.0,381.0
Oscar,1490,58.0,130.0,72.0,111.0,216.0,177.0,197.0,235.0,294.0
Erin,1469,0.0,0.0,0.0,0.0,53.0,298.0,311.0,427.0,380.0
Ryan,1379,52.0,227.0,197.0,228.0,169.0,125.0,176.0,189.0,16.0
Darryl,1243,17.0,76.0,88.0,59.0,102.0,84.0,227.0,312.0,278.0
Phyllis,1071,11.0,134.0,112.0,99.0,180.0,138.0,147.0,123.0,127.0
Kelly,956,4.0,115.0,176.0,95.0,156.0,120.0,153.0,123.0,14.0
Jan,949,38.0,285.0,298.0,214.0,64.0,0.0,17.0,0.0,33.0
Toby,936,23.0,148.0,122.0,144.0,71.0,100.0,97.0,106.0,125.0
Stanley,761,27.0,108.0,94.0,81.0,113.0,72.0,75.0,91.0,100.0
Meredith,645,18.0,41.0,60.0,62.0,115.0,82.0,70.0,83.0,114.0
Holly,608,0.0,0.0,0.0,73.0,270.0,0.0,265.0,0.0,0.0
Nellie,529,0.0,0.0,0.0,0.0,0.0,0.0,9.0,233.0,287.0
Creed,456,0.0,77.0,71.0,67.0,52.0,38.0,66.0,33.0,52.0
Gabe,436,0.0,0.0,0.0,0.0,0.0,86.0,211.0,119.0,20.0
Robert,430,0.0,0.0,0.0,0.0,0.0,0.0,17.0,404.0,9.0
David,382,0.0,12.0,64.0,3.0,127.0,113.0,12.0,26.0,25.0
Karen,341,0.0,0.0,293.0,25.0,22.0,0.0,1.0,0.0,0.0
Clark,260,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,247.0
Roy,255,35.0,106.0,89.0,0.0,14.0,0.0,0.0,0.0,11.0
Charles,221,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0
Pete,213,0.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,192.0
Jo,194,0.0,0.0,0.0,0.0,0.0,137.0,57.0,0.0,0.0
Deangelo,171,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0
